Gene,adj.P.Val,P.Value,t,B,logFC
LINC00474,0.959,0.023007,2.4419713,-3.51,0.21057968
ZNF79,0.959,0.023008,2.4419609,-3.51,0.15317631
ALCAM,0.959,0.023047,-2.4411645,-3.51,-0.28881707
CAMK1,0.959,0.023053,2.4410546,-3.51,0.31229568
IL1R2,0.959,0.023089,2.4403247,-3.51,0.45959077
INPP4A,0.959,0.02309,-2.4403195,-3.51,-0.15832424
PNISR,0.959,0.023154,-2.4390393,-3.51,-0.27202215
GNB5,0.959,0.023154,-2.4390383,-3.51,-0.20876131
TAF9B,0.959,0.023225,-2.4376204,-3.51,-0.20298917
MRPL12,0.959,0.023237,2.4373772,-3.51,0.21215682
CNOT4,0.959,0.023276,-2.4366047,-3.51,-0.21498203
STAG3L3,0.959,0.02329,-2.4363326,-3.51,-0.19687166
PIK3CA,0.959,0.023321,-2.43573,-3.51,-0.2821445
ZKSCAN1,0.959,0.023369,-2.4347673,-3.51,-0.25086727
BBS1,0.959,0.023392,-2.4343245,-3.51,-0.23452525
WBP11,0.959,0.023412,-2.43393,-3.52,-0.23990793
TGOLN2,0.959,0.023452,-2.4331429,-3.52,-0.19293718
C1orf27,0.959,0.023462,-2.4329457,-3.52,-0.26435781
TOLLIP,0.959,0.023593,2.4303787,-3.52,0.20483479
ZNF148,0.959,0.023713,-2.4280213,-3.52,-0.27417908
ZC3H13,0.959,0.023753,-2.4272454,-3.52,-0.29305964
PCM1,0.959,0.023806,-2.426226,-3.52,-0.25476856
KCNJ13,0.959,0.023893,2.4245347,-3.52,0.19623446
CYP3A7-CYP3A51P///CYP3A7,0.959,0.02394,2.4236275,-3.53,0.18373704
MAGT1,0.959,0.024108,-2.4203971,-3.53,-0.23849478
DNAJC4,0.959,0.024191,2.4188064,-3.53,0.23343401
KDM5A,0.959,0.024324,-2.4162599,-3.53,-0.54583554
ZC3H14,0.959,0.024459,-2.4136964,-3.54,-0.3398881
ZNF331,0.959,0.024672,-2.4096885,-3.54,-0.26179414
EXOC5,0.959,0.024691,-2.4093405,-3.54,-0.30094781
FAM96B,0.959,0.024694,2.4092723,-3.54,0.22850618
NMT2,0.959,0.024713,-2.4089126,-3.54,-0.27654829
GART,0.959,0.024724,-2.4087189,-3.54,-0.1868073
DNASE1L3,0.959,0.024738,2.4084597,-3.54,0.18486481
QTRT2,0.959,0.02474,-2.4084191,-3.54,-0.28473177
TUSC3,0.959,0.024797,2.4073378,-3.54,0.18419695
FOXN3,0.959,0.024862,-2.4061311,-3.54,-0.33494024
CDKL2,0.959,0.025022,2.4031626,-3.55,0.21101966
CD9,0.959,0.025059,2.4024818,-3.55,0.51742444
TRRAP,0.959,0.025076,-2.402163,-3.55,-0.19216366
IPO7,0.959,0.025107,-2.4015842,-3.55,-0.34187527
GOLGA4,0.959,0.025137,-2.4010327,-3.55,-0.27214389
KMT5B,0.959,0.025138,-2.4010142,-3.55,-0.26843405
NAA35,0.959,0.025215,-2.3995963,-3.55,-0.34039407
EFCAB14,0.959,0.025222,-2.3994623,-3.55,-0.20896449
KIAA1033,0.959,0.025226,-2.3993946,-3.55,-0.32169495
CD84,0.959,0.025343,2.3972458,-3.55,0.22591028
RALGAPB,0.959,0.025367,-2.3968061,-3.55,-0.19632072
GABRQ,0.959,0.025372,2.3967067,-3.55,0.22115269
MIR622,0.959,0.025392,2.396346,-3.55,0.17617822
TMEM260,0.959,0.02542,-2.3958336,-3.56,-0.42573242
SCAF4,0.959,0.0255,-2.3943847,-3.56,-0.21734614
TNFRSF11B,0.959,0.025548,-2.3935111,-3.56,-0.13064373
SLC5A12,0.959,0.025644,2.3917533,-3.56,0.14971058
COPS3,0.959,0.025786,2.3891936,-3.56,0.25529442
,0.959,0.025786,2.3891925,-3.56,0.1682569
CEP162,0.959,0.025796,2.3890131,-3.56,0.18198223
MRPS28,0.959,0.025833,2.3883408,-3.56,0.25209904
ELK4,0.959,0.025912,-2.3869325,-3.56,-0.17018805
NCOA3,0.959,0.025953,-2.3861976,-3.57,-0.29883194
GGCX,0.959,0.026019,2.3850055,-3.57,0.16494346
LGALS8,0.959,0.026047,-2.384505,-3.57,-0.31447453
FAM175B,0.959,0.026091,-2.3837205,-3.57,-0.35762057
RPL23AP53,0.959,0.026099,2.3835813,-3.57,0.1802516
MCM3AP,0.959,0.026109,-2.3834149,-3.57,-0.20710392
SIK3,0.959,0.026185,-2.3820474,-3.57,-0.23602772
CA8,0.959,0.026219,2.381451,-3.57,0.15108614
SFT2D2,0.959,0.026295,-2.3800977,-3.57,-0.1775239
PDS5A,0.959,0.026401,-2.3782254,-3.57,-0.2637423
ZNF506,0.959,0.026438,-2.3775823,-3.57,-0.30019805
CPNE1,0.959,0.026463,2.3771469,-3.57,0.23591051
CREB1,0.959,0.026487,-2.3767198,-3.57,-0.28840775
KIAA0754,0.959,0.026538,-2.3758185,-3.58,-0.32977014
HLX,0.959,0.026545,2.3757035,-3.58,0.28293047
IKZF2,0.959,0.026547,2.3756696,-3.58,0.1719542
NDUFA3,0.959,0.026555,2.3755213,-3.58,0.19958458
CREB1,0.959,0.026616,-2.3744511,-3.58,-0.22917113
RANBP3,0.959,0.026652,2.3738147,-3.58,0.27454286
SNRNP40,0.959,0.026658,2.3737262,-3.58,0.2366756
ZNF221,0.959,0.026664,2.3736209,-3.58,0.15815892
SEMA6A,0.959,0.026695,2.3730757,-3.58,0.20945468
TRIP6,0.959,0.026754,2.3720448,-3.58,0.13749256
IL2,0.959,0.026852,2.3703386,-3.58,0.20355921
TTC3P1///TTC3,0.959,0.026873,-2.3699764,-3.58,-0.34165983
RBBP6,0.959,0.026898,-2.3695363,-3.58,-0.31196017
IFNA14,0.959,0.026937,2.3688685,-3.58,0.12413168
,0.959,0.026955,-2.368558,-3.58,-0.27261991
LRCH3,0.959,0.026998,-2.3678117,-3.58,-0.3014874
,0.959,0.027131,2.3655251,-3.59,0.17347445
STK38,0.959,0.027224,2.3639172,-3.59,0.16461091
TIMM8B,0.959,0.027245,2.3635605,-3.59,0.34263601
DYRK2,0.959,0.027273,-2.3630809,-3.59,-0.56916552
MMP12,0.959,0.027323,2.3622272,-3.59,0.16327014
SLC25A37,0.959,0.02735,2.3617557,-3.59,0.46449652
TCEB2,0.959,0.027378,2.361291,-3.59,0.28025293
MTF2,0.959,0.02749,-2.3593759,-3.59,-0.34889169
RBPMS,0.959,0.027575,2.3579312,-3.59,0.19420643
CLCN3,0.959,0.027694,-2.3559293,-3.6,-0.28496017
EIF2S2,0.959,0.027747,2.3550364,-3.6,0.16622
UBE2D1,0.959,0.027832,2.353593,-3.6,0.1286052
MAP2K5,0.959,0.027851,-2.3532848,-3.6,-0.17905951
FRYL,0.959,0.027879,-2.3528178,-3.6,-0.27702956
PDK4,0.959,0.027945,-2.3517001,-3.6,-0.19929533
ATR,0.959,0.027997,-2.3508401,-3.6,-0.24699311
DUSP1,0.959,0.028089,2.3493016,-3.6,0.31624231
VAMP5,0.959,0.028152,2.3482573,-3.6,0.21640129
GUF1,0.959,0.028281,-2.3461205,-3.61,-0.1611481
PLAGL2,0.959,0.028417,-2.3438745,-3.61,-0.22695656
BMPR1A,0.959,0.028475,2.3429166,-3.61,0.14763947
BBX,0.959,0.028477,-2.3428725,-3.61,-0.35698042
TANK,0.959,0.028578,-2.3412151,-3.61,-0.29478574
HUWE1,0.959,0.028614,-2.3406376,-3.61,-0.18949862
1-Mar,0.959,0.028632,2.3403408,-3.61,0.30193367
RPS21,0.959,0.028799,2.3376158,-3.62,0.41425343
SNX11,0.959,0.028802,2.337562,-3.62,0.16834536
HIST1H2AL,0.959,0.028842,2.3369151,-3.62,0.15918605
CEP57,0.959,0.029109,-2.332592,-3.62,-0.33492024
BMS1P20,0.959,0.029129,2.3322618,-3.62,0.29649515
WASL,0.959,0.02917,-2.3316048,-3.62,-0.23996572
COX5B,0.959,0.029311,2.3293336,-3.62,0.28028335
SLC16A7,0.959,0.029325,-2.3291097,-3.62,-0.58505449
AKAP13,0.959,0.029347,-2.3287686,-3.62,-0.31012511
FZD3,0.959,0.02941,2.3277511,-3.63,0.14499388
TSPYL4,0.959,0.029438,-2.3273118,-3.63,-0.33275104
VPS13D,0.959,0.029469,-2.3268119,-3.63,-0.19878068
HSP90B1,0.959,0.029613,-2.3245219,-3.63,-0.19327745
EPM2AIP1,0.959,0.029653,-2.3238925,-3.63,-0.22577267
MACF1,0.959,0.0297,-2.3231548,-3.63,-0.28604631
LYRM2,0.959,0.029748,-2.3223882,-3.63,-0.22681108
CEP350,0.959,0.029831,-2.3210813,-3.63,-0.28859544
LOC100509457///HLA-DQA1,0.959,0.029862,-2.3205901,-3.63,-2.25645766
CHIC2,0.959,0.029868,2.320498,-3.63,0.240306
MIR6785///TMEM94,0.959,0.029885,-2.3202258,-3.63,-0.11851954
ARFGAP1,0.959,0.029911,2.3198201,-3.63,0.14225206
CALR,0.959,0.030062,-2.3174482,-3.64,-0.39059095
KRT32,0.959,0.030082,2.3171324,-3.64,0.1612103
GSTM1,0.959,0.03017,2.3157681,-3.64,0.38571796
CSNK2A1,0.959,0.030194,-2.3153951,-3.64,-0.3957962
KMT2A,0.959,0.030315,-2.3135108,-3.64,-0.34786901
CCDC6,0.959,0.030354,-2.3129057,-3.64,-0.23447833
USP7,0.959,0.030401,-2.3121651,-3.64,-0.16754131
ZFR,0.959,0.030469,-2.3111197,-3.64,-0.19323773
CYFIP2,0.959,0.03047,-2.3111005,-3.64,-0.23016138
ASCL1,0.959,0.030503,2.3106018,-3.64,0.15628378
RECQL,0.959,0.030542,-2.3099984,-3.64,-0.37167501
XYLT1,0.959,0.030581,-2.3093847,-3.64,-0.35452638
EDDM3A,0.959,0.030691,2.3076924,-3.65,0.15936208
MTMR9,0.959,0.030696,-2.3076225,-3.65,-0.25253496
HSPA4,0.959,0.030772,-2.3064541,-3.65,-0.19044023
CAST,0.959,0.030791,-2.3061689,-3.65,-0.24613352
RREB1,0.959,0.030946,-2.3037944,-3.65,-0.23593979
SASH1,0.959,0.030968,-2.3034641,-3.65,-0.24721131
CYR61,0.959,0.031012,2.302799,-3.65,0.15446808
ANXA6,0.959,0.031075,-2.3018418,-3.65,-0.24555101
RPL31,0.959,0.031096,2.3015188,-3.65,0.72102389
ADAMTS3,0.959,0.031108,2.3013387,-3.65,0.13967774
MED1,0.959,0.031187,-2.3001341,-3.65,-0.24501886
RASSF1,0.959,0.031192,2.300056,-3.65,0.16757755
CACNA1D,0.959,0.031223,2.2995972,-3.65,0.15965841
,0.959,0.031272,-2.2988534,-3.66,-0.40345411
NCAPG,0.959,0.031345,2.2977551,-3.66,0.1181958
KTN1,0.959,0.031397,-2.2969685,-3.66,-0.34522233
CAPN9,0.959,0.031403,2.2968831,-3.66,0.16749558
C14orf2,0.959,0.031518,2.2951553,-3.66,0.29711313
,0.959,0.031523,-2.295084,-3.66,-0.27072592
MAP3K2,0.959,0.031529,-2.29499,-3.66,-0.37641964
KIF25,0.959,0.031824,2.2905937,-3.66,0.20370369
VLDLR,0.959,0.031951,2.2887021,-3.67,0.23186812
STK24,0.959,0.031964,-2.2885174,-3.67,-0.23225484
NDUFB2,0.959,0.031995,2.2880501,-3.67,0.2314527
ATP2C1,0.959,0.032044,-2.2873291,-3.67,-0.23107409
PWP1,0.959,0.032059,-2.2871127,-3.67,-0.25707016
HMGXB4,0.959,0.032165,-2.2855519,-3.67,-0.15543628
AGRN,0.959,0.032188,2.2852133,-3.67,0.19195919
NUP214,0.959,0.032201,2.2850141,-3.67,0.2905673
DMXL2,0.959,0.032344,-2.2829269,-3.67,-0.33431659
,0.959,0.032384,-2.282332,-3.67,-0.17390518
CAPRIN1,0.959,0.032387,-2.2822938,-3.67,-0.16642866
CAPN7,0.959,0.032397,-2.2821518,-3.67,-0.23937626
SNORA5B///TBRG4,0.959,0.032453,2.2813267,-3.67,0.15868363
FNBP1,0.959,0.032474,-2.281018,-3.67,-0.23894224
SRP72,0.959,0.032479,-2.2809475,-3.67,-0.28476243
IGHV3-75,0.959,0.032516,2.2804156,-3.67,0.1732269
CPM,0.959,0.032558,-2.279802,-3.67,-0.18210583
ARG2,0.959,0.032616,2.2789506,-3.68,0.21783509
CD52,0.959,0.032643,2.2785687,-3.68,0.59943085
FAM214B,0.959,0.032665,2.27824,-3.68,0.20915289
,0.959,0.032666,2.2782323,-3.68,0.19154387
FOXK2,0.959,0.032694,2.2778293,-3.68,0.18738675
RALGAPA1///RALGAPA1P1,0.959,0.032695,-2.2778116,-3.68,-0.25522928
LY96,0.959,0.03278,2.2765847,-3.68,0.60837669
LOC730101,0.959,0.032792,2.2763985,-3.68,0.15017519
PDLIM5,0.959,0.032795,-2.2763667,-3.68,-0.19536638
YKT6,0.959,0.032863,2.2753742,-3.68,0.1424366
PRDM2,0.959,0.032897,-2.2748854,-3.68,-0.30449858
IGHM,0.959,0.032908,-2.2747333,-3.68,-0.20271778
XYLB,0.959,0.032991,2.2735332,-3.68,0.14374354
SIGLEC8,0.959,0.033047,2.2727397,-3.68,0.25287509
B4GALT1,0.959,0.033109,2.271844,-3.68,0.26849413
TAS2R1,0.959,0.033135,2.2714702,-3.68,0.1848062
DDIT3,0.959,0.033146,2.2713102,-3.68,0.18178339
MLXIP,0.959,0.033174,-2.2709204,-3.68,-0.26832685
MTR,0.959,0.033181,-2.2708185,-3.68,-0.35983076
EIF5B,0.959,0.033198,-2.2705775,-3.68,-0.24215279
TNFRSF14,0.959,0.033222,2.2702279,-3.68,0.20089393
LST1,0.959,0.033366,2.2681749,-3.69,0.27394657
SYT11,0.959,0.033405,-2.2676171,-3.69,-0.23154292
R3HCC1,0.959,0.033423,2.2673633,-3.69,0.13378797
MRPL13,0.959,0.033428,2.2672896,-3.69,0.21845369
CELSR3-AS1,0.959,0.033498,2.2662945,-3.69,0.19589252
CDH19,0.959,0.033536,2.2657636,-3.69,0.14405093
MPL,0.959,0.033607,-2.2647632,-3.69,-0.44085665
ACOT11,0.959,0.033684,2.2636693,-3.69,0.15130563
ZNF407,0.959,0.033724,-2.2631098,-3.69,-0.11732306
SURF1,0.959,0.033732,2.2630013,-3.69,0.178263
CYB5R2,0.959,0.033771,2.2624473,-3.69,0.15046835
TOR4A,0.959,0.033773,2.2624139,-3.69,0.17540822
PPP2R5E,0.959,0.033814,-2.2618478,-3.69,-0.30586438
ESF1,0.959,0.03401,-2.2590896,-3.7,-0.31166339
CTAGE5,0.959,0.034134,-2.2573697,-3.7,-0.32849088
IL6ST,0.959,0.034134,-2.2573565,-3.7,-0.18195872
RPS15A,0.959,0.034161,2.2569918,-3.7,0.5937274
LUZP1,0.959,0.034178,-2.2567483,-3.7,-0.2342607
RBMS3,0.959,0.034195,2.256508,-3.7,0.14855962
GLDC,0.959,0.034293,2.255156,-3.7,0.1492425
TJP1,0.959,0.034308,2.2549444,-3.7,0.22926188
ATP5L,0.959,0.034322,2.2547466,-3.7,0.30496559
IPO7,0.959,0.034358,-2.2542578,-3.7,-0.30340319
SLC39A9,0.959,0.034379,-2.2539591,-3.7,-0.15557718
KRR1,0.959,0.034401,-2.2536558,-3.7,-0.28633022
,0.959,0.034425,2.2533283,-3.7,0.27169609
PNN,0.959,0.034435,2.2531828,-3.7,0.16891985
AFDN,0.959,0.034443,2.2530814,-3.7,0.20253251
DOCK9,0.959,0.034456,-2.2528896,-3.7,-0.46159577
BAIAP2L2,0.959,0.034462,2.2528066,-3.7,0.1490617
TGIF2-C20orf24///C20orf24,0.959,0.034559,2.2514812,-3.7,0.25305443
RGL1,0.959,0.0346,-2.2509137,-3.7,-0.18292937
RAD23B,0.959,0.034619,-2.2506546,-3.7,-0.33085585
CKLF-CMTM1///CKLF,0.959,0.034653,2.250177,-3.71,0.42202454
SYNCRIP,0.959,0.034663,-2.2500426,-3.71,-0.35236011
,0.959,0.034713,2.2493531,-3.71,0.10617368
MAP3K6,0.959,0.034748,2.2488754,-3.71,0.17795219
FAM208B,0.959,0.034798,-2.2481876,-3.71,-0.3617856
IFNA5,0.959,0.034818,2.2479218,-3.71,0.10971506
ZNF257,0.959,0.034856,2.2473975,-3.71,0.13993342
SEC22B,0.959,0.034884,-2.2470166,-3.71,-0.25478764
SLC7A11,0.959,0.034907,2.2467078,-3.71,0.16538415
NCOA3,0.959,0.034935,-2.2463189,-3.71,-0.39382772
ACAA1,0.959,0.034967,2.245881,-3.71,0.17332473
ZNF80,0.959,0.035014,2.2452413,-3.71,0.12078273
RSF1,0.959,0.035036,-2.2449405,-3.71,-0.35514379
ARNT2,0.959,0.035047,2.2447938,-3.71,0.22799883
UBXN7,0.959,0.035085,-2.2442823,-3.71,-0.46779051
NF1P9///NF1,0.959,0.035092,-2.244188,-3.71,-0.16638722
PKN1,0.959,0.035142,2.2435037,-3.71,0.18817134
TAF10,0.959,0.035146,2.2434555,-3.71,0.2289196
MFN1,0.959,0.035194,-2.2427989,-3.71,-0.29543076
AP3B1,0.959,0.035194,-2.2427983,-3.71,-0.18373184
CDC14A,0.959,0.035235,-2.242245,-3.71,-0.29602919
TFR2,0.959,0.035323,2.2410603,-3.71,0.27717938
ARIH1,0.959,0.035387,-2.2401934,-3.72,-0.31698771
ACE2,0.959,0.035431,2.239595,-3.72,0.1786869
ZBTB33,0.959,0.035556,-2.2379176,-3.72,-0.11158409
GRK5,0.959,0.035578,-2.2376203,-3.72,-0.23312259
CPNE3,0.959,0.035583,-2.2375577,-3.72,-0.51841674
PSMB10,0.959,0.035597,2.2373671,-3.72,0.23657455
,0.959,0.035659,-2.2365397,-3.72,-0.37713265
ARIH2,0.959,0.035691,2.2361084,-3.72,0.14692049
ANKZF1,0.959,0.035751,2.2353121,-3.72,0.14192791
ZBTB20,0.959,0.035756,-2.2352403,-3.72,-0.42859611
TSC22D2,0.959,0.035792,-2.2347578,-3.72,-0.33969893
XCL2///XCL1,0.959,0.035799,2.2346648,-3.72,0.37587523
KAT6B,0.959,0.035928,-2.2329412,-3.72,-0.3402966
RAD21,0.959,0.036004,-2.2319428,-3.72,-0.28927307
,0.959,0.036166,-2.2297894,-3.73,-0.17043333
TEX30,0.959,0.036182,2.2295839,-3.73,0.18126879
C14orf2,0.959,0.036192,2.2294455,-3.73,0.53600984
RPL27,0.959,0.036223,2.2290402,-3.73,0.42621174
SHTN1,0.959,0.036223,-2.2290368,-3.73,-0.44849267
,0.959,0.036268,2.2284492,-3.73,0.16000183
HNRNPA3///HNRNPA3P1,0.959,0.036275,-2.2283505,-3.73,-0.25153847
NOX1,0.959,0.036279,2.2283006,-3.73,0.13861434
TMEM189-UBE2V1///TMEM189///UBE2V2///UBE2V1,0.959,0.03648,-2.2256641,-3.73,-0.19748745
SERINC3,0.959,0.036511,-2.2252533,-3.73,-0.33059387
LAMA2,0.959,0.036611,2.223949,-3.73,0.16092842
DNAJC13,0.959,0.036749,-2.2221377,-3.73,-0.26032047
OGFOD2,0.959,0.036806,2.2214,-3.73,0.16543217
ASNS,0.959,0.036826,-2.2211435,-3.73,-0.32079744
LY6E,0.959,0.036877,2.2204824,-3.74,0.34569306
,0.959,0.036918,2.219948,-3.74,0.13086174
ARID5B,0.959,0.036929,-2.219808,-3.74,-0.34482565
RFPL3,0.959,0.036935,2.2197295,-3.74,0.12419257
LOC101928634///SNORA67///CD68,0.959,0.036979,-2.2191483,-3.74,-0.15313945
ZBED4,0.959,0.037079,-2.217857,-3.74,-0.26759357
RPS10,0.959,0.037099,2.2176084,-3.74,0.3564744
IREB2,0.959,0.037289,-2.2151567,-3.74,-0.21303778
FCF1,0.959,0.037344,-2.2144514,-3.74,-0.26936111
LYST,0.959,0.037391,-2.2138492,-3.74,-0.28588161
AASS,0.959,0.03744,2.2132144,-3.74,0.18754373
GP1BA,0.959,0.037532,-2.2120388,-3.74,-0.29088178
AKAP13,0.959,0.037537,-2.2119767,-3.74,-0.36134334
TOPORS-AS1,0.959,0.037553,2.2117751,-3.74,0.19903798
KMT2A,0.959,0.037557,-2.2117169,-3.74,-0.28108439
,0.959,0.037618,-2.2109405,-3.74,-0.29054747
TBC1D5,0.959,0.037779,-2.2088949,-3.75,-0.44791226
CXCL8,0.959,0.037864,2.2078152,-3.75,0.26309533
DLGAP4,0.959,0.037942,2.206825,-3.75,0.13054051
CSNK1G1,0.959,0.037965,-2.2065322,-3.75,-0.18662605
FAM120A,0.959,0.037987,-2.2062628,-3.75,-0.19728622
MEP1B,0.959,0.038018,2.2058698,-3.75,0.14771767
NBPF26///NBPF10///NBPF9///NBPF14,0.959,0.038151,-2.2041845,-3.75,-0.37886858
ITPR2,0.959,0.038309,-2.2021992,-3.75,-0.24141531
CCDC93,0.959,0.038317,-2.2021066,-3.75,-0.16906128
CFD,0.959,0.038405,2.2009941,-3.75,0.75332518
AHNAK,0.959,0.038462,-2.20029,-3.76,-0.26762638
CKAP5,0.959,0.038485,-2.1999992,-3.76,-0.17569265
PPP3CC,0.959,0.038491,2.1999266,-3.76,0.22676167
POLR1D,0.959,0.03852,2.1995574,-3.76,0.40041142
,0.959,0.03866,2.1978207,-3.76,0.11075234
SPTBN1,0.959,0.038676,-2.1976235,-3.76,-0.45818191
CAST,0.959,0.038706,-2.1972509,-3.76,-0.21121922
ADD3,0.959,0.03872,-2.1970769,-3.76,-0.24502268
PSME4,0.959,0.038742,-2.1968046,-3.76,-0.19430218
DHX29,0.959,0.038778,-2.1963523,-3.76,-0.30463772
OXCT2,0.959,0.038831,2.195696,-3.76,0.22215695
SQLE,0.959,0.03884,-2.1955873,-3.76,-0.11594832
RBM3,0.959,0.038975,-2.1939144,-3.76,-0.24922919
ZNF729///ZNF43,0.959,0.038996,2.1936544,-3.76,0.19911475
,0.959,0.039034,-2.1931898,-3.76,-0.32376218
SPX,0.959,0.039094,2.1924402,-3.76,0.22021275
SMARCA4,0.959,0.039166,-2.1915617,-3.76,-0.27369127
LOC729815,0.959,0.039173,2.1914738,-3.76,0.16353402
MAF,0.959,0.039215,-2.1909581,-3.76,-0.30861893
CHRNA10,0.959,0.039226,2.1908187,-3.77,0.19538364
PUM1,0.959,0.039236,-2.1907044,-3.77,-0.2162467
CALM3///CALM2///CALM1,0.959,0.039251,-2.1905194,-3.77,-0.21632304
CDK5RAP2,0.959,0.039314,2.1897392,-3.77,0.12624888
EPHB1,0.959,0.039319,2.1896837,-3.77,0.18001075
MACF1,0.959,0.039375,-2.1890011,-3.77,-0.2329515
TSC22D4,0.959,0.039383,2.1888968,-3.77,0.20591936
VPS16,0.959,0.039384,2.1888906,-3.77,0.11106262
ELF1,0.959,0.039401,-2.188674,-3.77,-0.3717185
PTN,0.959,0.039418,2.1884736,-3.77,0.13028643
OR1A2,0.959,0.039443,2.1881635,-3.77,0.19408422
TMEM51,0.959,0.039514,2.1872953,-3.77,0.13954787
BIRC5,0.959,0.03954,2.1869788,-3.77,0.20090575
GRIA1,0.959,0.039824,2.1835271,-3.77,0.1389236
,0.959,0.039869,-2.1829916,-3.77,-0.22253037
FLNB,0.959,0.039922,2.1823448,-3.77,0.16974454
ATMIN,0.959,0.039931,-2.1822402,-3.77,-0.35791287
RAB11FIP2,0.959,0.039942,-2.1821079,-3.77,-0.31704302
C19orf24,0.959,0.03995,2.1820099,-3.77,0.16635861
CDK17,0.959,0.039971,-2.1817534,-3.77,-0.1659615
UQCR11,0.959,0.039988,2.1815436,-3.77,0.39390011
AKAP9,0.959,0.039989,-2.1815393,-3.77,-0.22170458
,0.959,0.04002,2.1811671,-3.77,0.25452538
CD244,0.959,0.040126,2.1798837,-3.78,0.22222595
LINC00894,0.959,0.040134,-2.1797936,-3.78,-0.19215865
RPS6KA3,0.959,0.040147,-2.1796356,-3.78,-0.23501272
S100A5,0.959,0.040197,2.179028,-3.78,0.19240918
MRPL40,0.959,0.04021,2.1788746,-3.78,0.24631109
,0.959,0.04026,-2.1782759,-3.78,-0.38731384
SCAMP1,0.959,0.040306,-2.1777305,-3.78,-0.35592971
PINK1,0.959,0.040325,2.177499,-3.78,0.23274069
CTR9,0.959,0.040344,-2.1772747,-3.78,-0.27877011
KLHL28,0.959,0.040344,-2.1772703,-3.78,-0.33346105
ZNHIT1,0.959,0.040383,2.1768066,-3.78,0.18533077
BFSP1,0.959,0.040457,-2.1759166,-3.78,-0.12831202
KLHL22,0.959,0.04046,-2.175879,-3.78,-0.22365789
PDE4D,0.959,0.040521,2.175155,-3.78,0.20738001
UNC5C,0.959,0.040577,2.1744864,-3.78,0.13671765
IGLJ3///CKAP2,0.959,0.04058,2.1744594,-3.78,0.15826616
WWC2///CLDN22,0.959,0.040673,-2.1733468,-3.78,-0.16492152
GNA13,0.959,0.040722,-2.1727689,-3.78,-0.33381276
SULF1,0.959,0.040799,2.1718535,-3.78,0.18764181
GLS,0.959,0.040917,-2.1704554,-3.79,-0.13283851
MTERF4,0.959,0.040923,-2.1703872,-3.79,-0.15816345
HAX1,0.959,0.041002,2.1694557,-3.79,0.20682106
ZMYND11,0.959,0.041045,-2.1689447,-3.79,-0.23519773
LOC101060373///NOMO3///NOMO2///NOMO1,0.959,0.041049,-2.1689016,-3.79,-0.18344555
GOSR1,0.959,0.041076,-2.1685807,-3.79,-0.21542578
CSF1R,0.959,0.041085,-2.1684769,-3.79,-0.19367447
CEP83,0.959,0.041092,-2.1683957,-3.79,-0.19119368
,0.959,0.041141,-2.1678125,-3.79,-0.23881865
CRHR2,0.959,0.041142,2.1678104,-3.79,0.12624311
PSMD13,0.959,0.041197,2.1671562,-3.79,0.17070518
PPP1R10,0.959,0.041225,-2.1668265,-3.79,-0.23914781
,0.959,0.04128,2.1661791,-3.79,0.14262166
RPLP2,0.959,0.041352,2.1653442,-3.79,0.16835203
TIMM44,0.959,0.041385,2.1649525,-3.79,0.16330919
,0.959,0.04145,2.1641959,-3.79,0.26675458
MRPS12,0.959,0.041457,2.1641157,-3.79,0.19740081
LUNAR1,0.959,0.04153,-2.1632628,-3.79,-0.15973544
SV2B,0.959,0.041583,2.1626482,-3.79,0.14165363
NDUFB2,0.959,0.041592,2.1625409,-3.79,0.30322528
ARF5,0.959,0.041622,2.1621939,-3.79,0.14745188
AKAP13,0.959,0.041736,-2.1608656,-3.8,-0.25569687
HSPB1,0.959,0.041739,2.1608281,-3.8,0.21425695
DHX9,0.959,0.04174,-2.1608156,-3.8,-0.33481946
INPP4B,0.959,0.041829,-2.1597869,-3.8,-0.28252635
ETV1,0.959,0.041846,2.1595884,-3.8,0.12295618
ZBTB20,0.959,0.041946,-2.1584359,-3.8,-0.20953207
USP48,0.959,0.041976,-2.1580904,-3.8,-0.1515624
HES1,0.959,0.041991,2.1579155,-3.8,0.2426352
ANKHD1-EIF4EBP3///ANKHD1,0.959,0.042006,-2.1577403,-3.8,-0.28413
CD300A,0.959,0.042023,2.1575428,-3.8,0.30917978
TMPO,0.959,0.042108,-2.1565628,-3.8,-0.29254646
AKIRIN1,0.959,0.042121,-2.1564148,-3.8,-0.14707193
LOC101930400///AKR1C2,0.959,0.042127,2.1563496,-3.8,0.23145957
PAPPA,0.959,0.04213,2.156315,-3.8,0.18079748
LOC643733,0.959,0.042154,2.1560305,-3.8,0.15674279
RAD51C,0.959,0.042169,2.1558692,-3.8,0.18575358
IL1RN,0.959,0.042172,2.1558284,-3.8,0.3688035
CSF2RA,0.959,0.042176,2.1557811,-3.8,0.27185321
AMPH,0.959,0.04218,2.1557425,-3.8,0.16225867
TUG1,0.959,0.042325,-2.1540714,-3.8,-0.17984076
MYOZ2,0.959,0.042343,2.1538703,-3.8,0.13927817
WNK1,0.959,0.042373,-2.1535234,-3.8,-0.46407566
KDM4C,0.959,0.042378,-2.1534633,-3.8,-0.19371853
NDRG3,0.959,0.04238,-2.1534452,-3.8,-0.12704878
PDIA4,0.959,0.042391,2.1533153,-3.8,0.17023149
