Gene symbol	Aliases	Description	Disease count
CDK9	C-2k, CDC2L4, CTK1, PITALRE, TAK	cyclin-dependent kinase 9	1	
CDKN1A	CAP20, CDKN1, CIP1, MDA-6, P21, SDI1, WAF1, p21CIP1	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	3	
CDKN1B	CDKN4, KIP1, MEN1B, MEN4, P27KIP1	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	3	
CDKN2A	ARF, CDK4I, CDKN2, CMM2, INK4, INK4A, MLM, MTS-1, MTS1, P14, P14ARF, P16, P16-INK4A, P16INK4, P16INK4A, P19, P19ARF, TP16	cyclin-dependent kinase inhibitor 2A	8	
CDKN3	CDI1, CIP2, KAP, KAP1	cyclin-dependent kinase inhibitor 3	1	
CDR1	CDR, CDR34, CDR62A	cerebellar degeneration-related protein 1, 34kDa	1	
CDR2	CDR62, Yo	cerebellar degeneration-related protein 2, 62kDa	1	
CDS1	CDS	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1	1	
CDSN	HTSS, HTSS1, HYPT2, PSS, PSS1, S	corneodesmosin	2	
CD52	CDW52	CD52 molecule	2	
CDX2	CDX-3, CDX2/AS, CDX3	caudal type homeobox 2	4	
CEBPA	C/EBP-alpha, CEBP	CCAAT/enhancer binding protein (C/EBP), alpha	1	
CEBPB	C/EBP-beta, IL6DBP, NF-IL6, TCF5	CCAAT/enhancer binding protein (C/EBP), beta	2	
CEBPE	C/EBP-epsilon, CRP1	CCAAT/enhancer binding protein (C/EBP), epsilon	1	
CEBPG	GPE1BP, IG/EBP-1	CCAAT/enhancer binding protein (C/EBP), gamma	1	
CEL	BAL, BSDL, BSSL, CELL, CEase, FAP, FAPP, LIPA, MODY8	carboxyl ester lipase	1	
CELP	CELL, cell1, cell2, cell3	carboxyl ester lipase pseudogene	1	
CENPA	CENP-A, CenH3	centromere protein A	2	
CENPB		centromere protein B, 80kDa	2	
CENPCP1	CENPC, CENPC1P1, CENPC2	centromere protein C pseudogene 1	1	
CFTR	ABC35, ABCC7, CF, CFTR/MRP, MRP7, TNR-CFTR, dJ760C5.1	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)	6	
CGA	CG-ALPHA, FSHA, GPHA1, GPHa, HCG, LHA, TSHA	glycoprotein hormones, alpha polypeptide	2	
CEACAM3	CD66D, CEA, CGM1, W264, W282	carcinoembryonic antigen-related cell adhesion molecule 3	2	
CEACAM8	CD66b, CD67, CGM6, NCA-95	carcinoembryonic antigen-related cell adhesion molecule 8	1	
CHAT	CHOACTASE, CMS1A, CMS1A2, CMS6	choline O-acetyltransferase	1	
CHD1		chromodomain helicase DNA binding protein 1	1	
CHD3	Mi-2a, Mi2-ALPHA, ZFH	chromodomain helicase DNA binding protein 3	1	
CHD4	CHD-4, Mi-2b, Mi2-BETA	chromodomain helicase DNA binding protein 4	1	
CHGA	CGA	chromogranin A	7	
CHI3L1	ASRT7, CGP-39, GP-39, GP39, HC-gp39, HCGP-3P, YKL-40, YKL40, YYL-40, hCGP-39	chitinase 3-like 1 (cartilage glycoprotein-39)	8	
CHI3L2	CHIL2, YKL-39, YKL39	chitinase 3-like 2	3	
CHIT1	CHI3, CHIT, CHITD	chitinase 1 (chitotriosidase)	1	
CHKB	CHETK, CHKL, CK, CKB, CKEKB, EK, EKB, MDCMC	choline kinase beta	2	
CHM	DXS540, GGTA, HSD-32, REP-1, TCD	choroideremia (Rab escort protein 1)	1	
CHRM3	EGBRS, HM3	cholinergic receptor, muscarinic 3	1	
CHRNA1	ACHRA, ACHRD, CHRNA, CMS1A, CMS1B, CMS2A, FCCMS, SCCMS	cholinergic receptor, nicotinic, alpha 1 (muscle)	1	
CHRNA4	BFNC, EBN, EBN1, NACHR, NACHRA4, NACRA4	cholinergic receptor, nicotinic, alpha 4 (neuronal)	2	
CHRNA5	LNCR2	cholinergic receptor, nicotinic, alpha 5 (neuronal)	2	
CHRNB3		cholinergic receptor, nicotinic, beta 3 (neuronal)	1	
CHRND	ACHRD, CMS2A, CMS3A, CMS3B, CMS3C, FCCMS, SCCMS	cholinergic receptor, nicotinic, delta (muscle)	1	
CHUK	IKBKA, IKK-alpha, IKK1, IKKA, NFKBIKA, TCF16	conserved helix-loop-helix ubiquitous kinase	1	
CISH	BACTS2, CIS, CIS-1, G18, SOCS	cytokine inducible SH2-containing protein	5	
ERCC8	CKN1, CSA, UVSS2	excision repair cross-complementation group 8	2	
AP2M1	AP50, CLAPM1, mu2	adaptor-related protein complex 2, mu 1 subunit	1	
CLCN3	CLC3, ClC-3	chloride channel, voltage-sensitive 3	2	
CLCN5	CLC5, CLCK2, ClC-5, DENTS, NPHL1, NPHL2, XLRH, XRN, hCIC-K2	chloride channel, voltage-sensitive 5	1	
CLU	AAG4, APO-J, APOJ, CLI, CLU1, CLU2, KUB1, NA1/NA2, SGP-2, SGP2, SP-40, TRPM-2, TRPM2	clusterin	4	
TPP1	CLN2, GIG1, LPIC, SCAR7, TPP-1	tripeptidyl peptidase I	3	
CLN3	BTS, JNCL	ceroid-lipofuscinosis, neuronal 3	2	
CMA1	CYH, MCT1, chymase	chymase 1, mast cell	2	
CCR1	CD191, CKR-1, CKR1, CMKBR1, HM145, MIP1aR, SCYAR1	chemokine (C-C motif) receptor 1	4	
CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	chemokine (C-C motif) receptor 3	4	
CCR4	CC-CKR-4, CD194, CKR4, CMKBR4, ChemR13, HGCN:14099, K5-5	chemokine (C-C motif) receptor 4	7	
CCR5	CC-CKR-5, CCCKR5, CCR-5, CD195, CKR-5, CKR5, CMKBR5, IDDM22	chemokine (C-C motif) receptor 5 (gene/pseudogene)	16	
CCR6	BN-1, C-C CKR-6, CC-CKR-6, CCR-6, CD196, CKR-L3, CKRL3, CMKBR6, DCR2, DRY6, GPR29, GPRCY4, STRL22	chemokine (C-C motif) receptor 6	13	
CCR7	BLR2, CC-CKR-7, CCR-7, CD197, CDw197, CMKBR7, EBI1	chemokine (C-C motif) receptor 7	10	
CCR8	CC-CKR-8, CCR-8, CDw198, CKRL1, CMKBR8, CMKBRL2, CY6, GPRCY6, TER1	chemokine (C-C motif) receptor 8	4	
ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6, hD6	atypical chemokine receptor 2	2	
ABCC2	ABC30, CMOAT, DJS, MRP2, cMRP	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	1	
CNR1	CANN6, CB-R, CB1, CB1A, CB1K5, CB1R, CNR	cannabinoid receptor 1 (brain)	2	
CNR2	CB-2, CB2, CX5	cannabinoid receptor 2 (macrophage)	5	
CNTF	HCNTF	ciliary neurotrophic factor	3	
COL1A1	EDSC, OI1, OI2, OI3, OI4	collagen, type I, alpha 1	2	
COL1A2	OI4	collagen, type I, alpha 2	4	
CTD		Coats disease	1	
COL4A3		collagen, type IV, alpha 3 (Goodpasture antigen)	1	
COL5A1	EDSC	collagen, type V, alpha 1	1	
COL6A1	OPLL	collagen, type VI, alpha 1	1	
COL6A3	DYT27	collagen, type VI, alpha 3	1	
COL11A2	DFNA13, DFNB53, FBCG2, HKE5, PARP, STL3	collagen, type XI, alpha 2	1	
COL13A1	COLXIIIA1	collagen, type XIII, alpha 1	2	
COL17A1	BA16H23.2, BP180, BPA-2, BPAG2, LAD-1	collagen, type XVII, alpha 1	1	
COMP	EDM1, EPD1, MED, PSACH, THBS5	cartilage oligomeric matrix protein	3	
COMT	HEL-S-98n	catechol-O-methyltransferase	6	
KLF6	BCD1, CBA1, COPEB, CPBP, GBF, PAC1, ST12, ZF9	Kruppel-like factor 6	1	
CORT	CST-14, CST-17, CST-29	cortistatin	3	
MAP3K8	AURA2, COT, EST, ESTF, MEKK8, TPL2, Tpl-2, c-COT	mitogen-activated protein kinase kinase kinase 8	3	
COX4I1	COX4, COX4-1, COXIV	cytochrome c oxidase subunit IV isoform 1	1	
COX15	CEMCOX2	cytochrome c oxidase assembly homolog 15 (yeast)	1	
CP	CP-2	ceruloplasmin (ferroxidase)	3	
CPB2	CPU, PCPB, TAFI	carboxypeptidase B2 (plasma)	3	
CLDN4	CPE-R, CPER, CPETR, CPETR1, WBSCR8, hCPE-R	claudin 4	2	
CLDN3	C7orf1, CPE-R2, CPETR2, HRVP1, RVP1	claudin 3	5	
CPS1	CPSASE1, PHN	carbamoyl-phosphate synthase 1, mitochondrial	2	
CPT1B	CPT1-M, CPT1M, CPTI, CPTI-M, M-CPT1, MCCPT1, MCPT1	carnitine palmitoyltransferase 1B (muscle)	1	
CR1	C3BR, C4BR, CD35, KN	complement component (3b/4b) receptor 1 (Knops blood group)	5	
CR2	C3DR, CD21, CR, CVID7, SLEB9	complement component (3d/Epstein Barr virus) receptor 2	5	
CREB1	CREB	cAMP responsive element binding protein 1	1	
ATF2	CRE-BP1, CREB-2, CREB2, HB16, TREB7	activating transcription factor 2	1	
ATF6B	CREB-RP, CREBL1, G13	activating transcription factor 6 beta	2	
CREBL2		cAMP responsive element binding protein-like 2	1	
CREM	CREM-2, ICER, hCREM-2	cAMP responsive element modulator	4	
CRH	CRF, CRH1	corticotropin releasing hormone	9	
CRHR1	CRF-R, CRF-R-1, CRF-R1, CRF1, CRFR-1, CRFR1, CRH-R-1, CRH-R1, CRHR, CRHR1L	corticotropin releasing hormone receptor 1	2	
CRHR2	CRF-RB, CRF2, CRFR2, HM-CRF	corticotropin releasing hormone receptor 2	3	
CRP	PTX1	C-reactive protein, pentraxin-related	22	
HAPLN1	CRT1, CRTL1	hyaluronan and proteoglycan link protein 1	2	
CRY1	PHLL1	cryptochrome circadian clock 1	1	
CRYAB	CMD1II, CRYA2, CTPP2, CTRCT16, HEL-S-101, HSPB5, MFM2	crystallin, alpha B	1	
MAPK14	CSBP, CSBP1, CSBP2, CSPB1, EXIP, Mxi2, PRKM14, PRKM15, RK, SAPK2A, p38, p38ALPHA	mitogen-activated protein kinase 14	7	
CSF1	CSF-1, MCSF	colony stimulating factor 1 (macrophage)	5	
CSF1R	C-FMS, CD115, CSF-1R, CSFR, FIM2, FMS, HDLS, M-CSF-R	colony stimulating factor 1 receptor	2	
CSF2	GMCSF	colony stimulating factor 2 (granulocyte-macrophage)	14	
CSF2RB	CD131, CDw131, IL3RB, IL5RB, SMDP5	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)	1	
CSF3	C17orf33, CSF3OS, GCSF	colony stimulating factor 3 (granulocyte)	12	
CSHL1	CS-5, CSHP1, CSL, hCS-L	chorionic somatomammotropin hormone-like 1	1	
CSK		c-src tyrosine kinase	2	
CSNK1E	CKIepsilon, HCKIE	casein kinase 1, epsilon	1	
CSNK2B	CK2B, CK2N, CSK2B, G5A	casein kinase 2, beta polypeptide	1	
CST3	ARMD11	cystatin C	6	
CST5		cystatin D	1	
CSTA	AREI, STF1, STFA	cystatin A (stefin A)	1	
NKX2-5	CHNG5, CSX, CSX1, HLHS2, NKX2.5, NKX2E, NKX4-1, VSD3	NK2 homeobox 5	1	
CTGF	CCN2, HCS24, IGFBP8, NOV2	connective tissue growth factor	6	
CTLA4	ALPS5, CD, CD152, CELIAC3, CTLA-4, GRD4, GSE, IDDM12	cytotoxic T-lymphocyte-associated protein 4	24	
CTNNB1	CTNNB, MRD19, armadillo	catenin (cadherin-associated protein), beta 1, 88kDa	9	
CTNND1	CAS, CTNND, P120CAS, P120CTN, p120, p120(CAS), p120(CTN)	catenin (cadherin-associated protein), delta 1	2	
CTSB	APPS, CPSB	cathepsin B	3	
CTSD	CLN10, CPSD, HEL-S-130P	cathepsin D	4	
CTSE	CATE	cathepsin E	1	
CTSG	CATG, CG	cathepsin G	4	
CTSH	ACC-4, ACC-5, ACC4, ACC5, CPSB, minichain	cathepsin H	2	
CTSK	CTS02, CTSO, CTSO1, CTSO2, PKND, PYCD	cathepsin K	2	
CTSL	CATL, CTSL1, MEP	cathepsin L	4	
CTSV	CATL2, CTSL2, CTSU	cathepsin V	1	
CTSS		cathepsin S	2	
CTSW	LYPN	cathepsin W	1	
CTSZ	CTSX	cathepsin Z	2	
CUX1	CASP, CDP, CDP/Cut, CDP1, COY1, CUTL1, CUX, Clox, Cux/CDP, GOLIM6, Nbla10317, p100, p110, p200, p75	cut-like homeobox 1	1	
CX3CR1	CCRL1, CMKBRL1, CMKDR1, GPR13, GPRV28, V28	chemokine (C-X3-C motif) receptor 1	9	
CYB5A	CYB5, MCB5	cytochrome b5 type A (microsomal)	1	
CYBA	p22-PHOX	cytochrome b-245, alpha polypeptide	3	
CYBB	AMCBX2, CGD, GP91-1, GP91-PHOX, GP91PHOX, IMD34, NOX2, p91-PHOX	cytochrome b-245, beta polypeptide	4	
CYLD	BRSS, CDMT, CYLD1, CYLDI, EAC, MFT, MFT1, SBS, TEM, USPL2	cylindromatosis (turban tumor syndrome)	2	
CYP1A1	AHH, AHRR, CP11, CYP1, P1-450, P450-C, P450DX	cytochrome P450, family 1, subfamily A, polypeptide 1	3	
CYP1A2	CP12, P3-450, P450(PA)	cytochrome P450, family 1, subfamily A, polypeptide 2	3	
CYP1B1	CP1B, CYPIB1, GLC3A, P4501B1	cytochrome P450, family 1, subfamily B, polypeptide 1	1	
CYP2C19	CPCJ, CYP2C, CYPIIC17, CYPIIC19, P450C2C, P450IIC19	cytochrome P450, family 2, subfamily C, polypeptide 19	2	
CYP2C9	CPC9, CYP2C, CYP2C10, CYPIIC9, P450IIC9	cytochrome P450, family 2, subfamily C, polypeptide 9	3	
CYP2D6	CPD6, CYP2D, CYP2D7AP, CYP2D7BP, CYP2D7P2, CYP2D8P2, CYP2DL1, CYPIID6, P450-DB1, P450C2D, P450DB1	cytochrome P450, family 2, subfamily D, polypeptide 6	5	
CYP2E1	CPE1, CYP2E, P450-J, P450C2E	cytochrome P450, family 2, subfamily E, polypeptide 1	2	
CYP3A4	CP33, CP34, CYP3A, CYP3A3, CYPIIIA3, CYPIIIA4, HLP, NF-25, P450C3, P450PCN1	cytochrome P450, family 3, subfamily A, polypeptide 4	5	
CYP3A5	CP35, CYPIIIA5, P450PCN3, PCN3	cytochrome P450, family 3, subfamily A, polypeptide 5	2	
CYP7A1	CP7A, CYP7, CYPVII	cytochrome P450, family 7, subfamily A, polypeptide 1	2	
CYP11A1	CYP11A, CYPXIA1, P450SCC	cytochrome P450, family 11, subfamily A, polypeptide 1	1	
CYP17A1	CPT7, CYP17, P450C17, S17AH	cytochrome P450, family 17, subfamily A, polypeptide 1	4	
CYP19A1	ARO, ARO1, CPV1, CYAR, CYP19, CYPXIX, P-450AROM	cytochrome P450, family 19, subfamily A, polypeptide 1	1	
CYP21A2	CA21H, CAH1, CPS1, CYP21, CYP21B, P450c21B	cytochrome P450, family 21, subfamily A, polypeptide 2	2	
CYP21A1P	CYP21A, CYP21P, P450c21A	cytochrome P450, family 21, subfamily A, polypeptide 1 pseudogene	1	
CYP24A1	CP24, CYP24, HCAI, P450-CC24	cytochrome P450, family 24, subfamily A, polypeptide 1	2	
CYP27B1	CP2B, CYP1, CYP1alpha, CYP27B, P450c1, PDDR, VDD1, VDDR, VDDRI, VDR	cytochrome P450, family 27, subfamily B, polypeptide 1	4	
DAB1		Dab, reelin signal transducer, homolog 1 (Drosophila)	1	
CD55	CR, CROM, DAF, TC	CD55 molecule, decay accelerating factor for complement (Cromer blood group)	6	
DGKA	DAGK, DAGK1, DGK-alpha	diacylglycerol kinase, alpha 80kDa	1	
DGKQ	DAGK, DAGK4, DAGK7	diacylglycerol kinase, theta 110kDa	1	
DAO	DAAO, DAMOX, OXDA	D-amino-acid oxidase	2	
DAP		death-associated protein	3	
DAPK1	DAPK	death-associated protein kinase 1	3	
DAXX	BING2, DAP6, EAP1	death-domain associated protein	1	
BRINP1	DBC1, DBCCR1, FAM5A	bone morphogenetic protein/retinoic acid inducible neural-specific 1	2	
DBI	ACBD1, ACBP, CCK-RP, EP	diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein)	1	
DBP	DABP	D site of albumin promoter (albumin D-box) binding protein	3	
DCC	CRC18, CRCR1, IGDCC1, MRMV1, NTN1R1	DCC netrin 1 receptor	1	
DCK		deoxycytidine kinase	1	
DCN	CSCD, DSPG2, PG40, PGII, PGS2, SLRR1B	decorin	2	
ACE	ACE1, CD143, DCP, DCP1, ICH, MVCD3	angiotensin I converting enzyme	11	
DCT	TRP-2, TYRP2	dopachrome tautomerase	2	
DDC	AADC	dopa decarboxylase (aromatic L-amino acid decarboxylase)	4	
GADD45A	DDIT1, GADD45	growth arrest and DNA-damage-inducible, alpha	2	
DDIT3	CEBPZ, CHOP, CHOP-10, CHOP10, GADD153	DNA-damage-inducible transcript 3	6	
DDX6	HLR2, P54, RCK	DEAD (Asp-Glu-Ala-Asp) box helicase 6	4	
DHX8	DDX8, HRH1, PRP22, PRPF22	DEAH (Asp-Glu-Ala-His) box polypeptide 8	1	
DHX9	DDX9, LKP, NDH2, NDHII, RHA	DEAH (Asp-Glu-Ala-His) box helicase 9	1	
DECR1	DECR, NADPH, SDR18C1	2,4-dienoyl CoA reductase 1, mitochondrial	1	
DEFA1	DEF1, DEFA2, HNP-1, HP-1, HP1, MRS	defensin, alpha 1	3	
DEFA3	DEF3, HNP-3, HNP3, HP-3, HP3	defensin, alpha 3, neutrophil-specific	2	
DEFA4	DEF4, HNP-4, HP-4, HP4	defensin, alpha 4, corticostatin	1	
DEFA5	DEF5, HD-5	defensin, alpha 5, Paneth cell-specific	3	
DEFA6	DEF6, HD-6	defensin, alpha 6, Paneth cell-specific	3	
DEFB1	BD1, DEFB-1, DEFB101, HBD1	defensin, beta 1	7	
DEFB4A	BD-2, DEFB-2, DEFB102, DEFB2, DEFB4, HBD-2, SAP1	defensin, beta 4A	9	
DES	CSM1, CSM2, LGMD2R	desmin	1	
DGUOK	MTDPS3, dGK	deoxyguanosine kinase	1	
DHFR	DHFRP1, DYR	dihydrofolate reductase	1	
DHODH	DHOdehase, POADS, URA1	dihydroorotate dehydrogenase (quinone)	1	
NQO1	DHQU, DIA4, DTD, NMOR1, NMORI, QR1	NAD(P)H dehydrogenase, quinone 1	5	
DIO2	5DII, D2, DIOII, SelY, TXDI2	deiodinase, iodothyronine, type II	2	
DIO3	5DIII, D3, DIOIII, TXDI3	deiodinase, iodothyronine, type III	1	
DLAT	DLTA, PDC-E2, PDCE2	dihydrolipoamide S-acetyltransferase	1	
DLD	DLDD, DLDH, E3, GCSL, LAD, PHE3	dihydrolipoamide dehydrogenase	2	
DLG1	DLGH1, SAP-97, SAP97, dJ1061C18.1.1, hdlg	discs, large homolog 1 (Drosophila)	1	
DLG2	PPP1R58, PSD-93, PSD93, chapsyn-110	discs, large homolog 2 (Drosophila)	2	
DLST	DLTS	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	1	
DMBT1	GP340, muclin	deleted in malignant brain tumors 1	2	
DMP1	ARHP, ARHR, DMP-1	dentin matrix acidic phosphoprotein 1	1	
DNASE1	DNL1, DRNI	deoxyribonuclease I	2	
DNASE1L3	DHP2, DNAS1L3, LSD, SLEB16	deoxyribonuclease I-like 3	3	
DNASE2	DNASE2A, DNL, DNL2	deoxyribonuclease II, lysosomal	1	
DNM2	CMT2M, CMTDI1, CMTDIB, DI-CMTB, DYN2, DYNII, LCCS5	dynamin 2	1	
DNMT1	ADCADN, AIM, CXXC9, DNMT, HSN1E, MCMT	DNA (cytosine-5-)-methyltransferase 1	6	
DNMT3A	DNMT3A2, M.HsaIIIA, TBRS	DNA (cytosine-5-)-methyltransferase 3 alpha	4	
DNMT3B	ICF, ICF1, M.HsaIIIB	DNA (cytosine-5-)-methyltransferase 3 beta	5	
DOK1	P62DOK	docking protein 1, 62kDa (downstream of tyrosine kinase 1)	1	
DPP4	ADABP, ADCP2, CD26, DPPIV, TP103	dipeptidyl-peptidase 4	6	
DPT	TRAMP	dermatopontin	1	
DPYD	DHP, DHPDHASE, DPD	dihydropyrimidine dehydrogenase	3	
DPYSL2	CRMP-2, CRMP2, DHPRP2, DRP-2, DRP2, N2A3, ULIP-2, ULIP2	dihydropyrimidinase-like 2	1	
SLC26A3	CLD, DRA	solute carrier family 26 (anion exchanger), member 3	1	
DRD1	DADR, DRD1A	dopamine receptor D1	2	
DRD2	D2DR, D2R	dopamine receptor D2	6	
DRD3	D3DR, ETM1, FET1	dopamine receptor D3	1	
DRD4	D4DR	dopamine receptor D4	1	
DRD5	DBDR, DRD1B, DRD1L2	dopamine receptor D5	1	
ARID3A	BRIGHT, DRIL1, DRIL3, E2FBP1	AT rich interactive domain 3A (BRIGHT-like)	2	
DSC1	CDHF1, DG2/DG3	desmocollin 1	1	
DSG1	CDHF4, DG1, DSG, EPKHE, EPKHIA, PPKS1, SPPK1	desmoglein 1	1	
DSG2	ARVC10, ARVD10, CDHF5, CMD1BB, HDGC	desmoglein 2	1	
DSG3	CDHF6, PVA	desmoglein 3	1	
TSC22D3	DIP, DSIPI, GILZ, TSC-22R, hDIP	TSC22 domain family, member 3	3	
HBEGF	DTR, DTS, DTSF, HEGFL	heparin-binding EGF-like growth factor	3	
DUSP1	CL100, HVH1, MKP-1, MKP1, PTPN10	dual specificity phosphatase 1	4	
DUSP2	PAC-1, PAC1	dual specificity phosphatase 2	3	
DUSP3	VHR	dual specificity phosphatase 3	1	
DUSP5	DUSP, HVH3	dual specificity phosphatase 5	1	
DUSP6	HH19, MKP3, PYST1	dual specificity phosphatase 6	1	
DUT	dUTPase	deoxyuridine triphosphatase	1	
TOR1A	DQ2, DYT1	torsin family 1, member A (torsin A)	1	
E2F1	E2F-1, RBAP1, RBBP3, RBP3	E2F transcription factor 1	1	
E2F2	E2F-2	E2F transcription factor 2	2	
EBF1	COE1, EBF, O/E-1, OLF1	early B-cell factor 1	1	
GPR183	EBI2	G protein-coupled receptor 183	1	
ECE1	ECE	endothelin converting enzyme 1	1	
TYMP	ECGF, ECGF1, MEDPS1, MNGIE, MTDPS1, PDECGF, TP, hPD-ECGF	thymidine phosphorylase	2	
ECHS1	ECHS1D, SCEH	enoyl CoA hydratase, short chain, 1, mitochondrial	1	
ECM1	URBWD	extracellular matrix protein 1	2	
S1PR1	CD363, CHEDG1, D1S3362, ECGF1, EDG-1, EDG1, S1P1	sphingosine-1-phosphate receptor 1	4	
LPAR1	EDG2, GPR26, Gpcr26, LPA1, Mrec1.3, VZG1, edg-2, rec.1.3, vzg-1	lysophosphatidic acid receptor 1	2	
EDN1	ARCND3, ET1, HDLCQ7, PPET1, QME	endothelin 1	10	
EDN2	ET-2, ET2, PPET2	endothelin 2	1	
EDNRA	ET-A, ETA, ETA-R, ETAR, ETRA, MFDA, hET-AR	endothelin receptor type A	5	
EDNRB	ABCDS, ET-B, ET-BR, ETB, ETB1, ETBR, ETRB, HSCR, HSCR2, WS4A	endothelin receptor type B	3	
EFNB1	CFND, CFNS, EFB1, EFL3, EPLG2, Elk-L, LERK2	ephrin-B1	1	
EFNB2	EPLG5, HTKL, Htk-L, LERK5	ephrin-B2	1	
EGF	HOMG4, URG	epidermal growth factor	11	
EGFR	ERBB, ERBB1, HER1, NISBD2, PIG61, mENA	epidermal growth factor receptor	8	
EGR1	AT225, G0S30, KROX-24, NGFI-A, TIS8, ZIF-268, ZNF225	early growth response 1	6	
EGR2	AT591, CMT1D, CMT4E, KROX20	early growth response 2	2	
EIF2S1	EIF-2, EIF-2A, EIF-2alpha, EIF2, EIF2A	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa	1	
EIF2B1	EIF2B, EIF2BA	eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa	1	
EPHA2	ARCC2, CTPA, CTPP1, CTRCT6, ECK	EPH receptor A2	1	
EIF4E	AUTS19, CBP, EIF4E1, EIF4EL1, EIF4F	eukaryotic translation initiation factor 4E	1	
EIF4EBP1	4E-BP1, 4EBP1, BP-1, PHAS-I	eukaryotic translation initiation factor 4E binding protein 1	2	
EIF4EBP2	4EBP2, PHASII	eukaryotic translation initiation factor 4E binding protein 2	1	
EIF4G1	EIF-4G1, EIF4F, EIF4G, EIF4GI, P220, PARK18	eukaryotic translation initiation factor 4 gamma, 1	1	
ELANE	ELA2, GE, HLE, HNE, NE, PMN-E, SCN1	elastase, neutrophil expressed	7	
SERPINB1	EI, ELANH2, HEL57, LEI, M/NEI, MNEI, PI-2, PI2	serpin peptidase inhibitor, clade B (ovalbumin), member 1	1	
ELAVL1	ELAV1, HUR, Hua, MelG	ELAV like RNA binding protein 1	1	
ELAVL4	HUD, PNEM	ELAV like neuron-specific RNA binding protein 4	1	
ELF1		E74-like factor 1 (ets domain transcription factor)	2	
ELF3	EPR-1, ERT, ESE-1, ESX	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	1	
ELN	SVAS, WBS, WS	elastin	3	
ADGRE1	EMR1, TM7LN3	adhesion G protein-coupled receptor E1	1	
EMX2		empty spiracles homeobox 2	1	
EN1		engrailed homeobox 1	2	
ENG	END, HHT1, ORW1	endoglin	3	
ENO1	ENO1L1, MPB1, NNE, PPH	enolase 1, (alpha)	1	
ENO2	HEL-S-279, NSE	enolase 2 (gamma, neuronal)	1	
EP300	KAT3B, RSTS2, p300	E1A binding protein p300	6	
EPAS1	ECYT4, HIF2A, HLF, MOP2, PASD2, bHLHe73	endothelial PAS domain protein 1	2	
EPHA1	EPH, EPHT, EPHT1	EPH receptor A1	1	
EPHA3	EK4, ETK, ETK1, HEK, HEK4, TYRO4	EPH receptor A3	1	
EPHA4	HEK8, SEK, TYRO1	EPH receptor A4	2	
EPHB2	CAPB, DRT, EK5, EPHT3, ERK, Hek5, PCBC, Tyro5	EPH receptor B2	1	
STX2	EPIM, EPM, STX2A, STX2B, STX2C	syntaxin 2	1	
CLN8	C8orf61, EPMR	ceroid-lipofuscinosis, neuronal 8	1	
EPO	EP, MVCD2	erythropoietin	7	
ERBB2	CD340, HER-2, HER-2/neu, HER2, MLN 19, NEU, NGL, TKR1	erb-b2 receptor tyrosine kinase 2	5	
ERBB3	ErbB-3, HER3, LCCS2, MDA-BF-1, c-erbB-3, c-erbB3, erbB3-S, p180-ErbB3, p45-sErbB3, p85-sErbB3	erb-b2 receptor tyrosine kinase 3	3	
ERBB4	ALS19, HER4, p180erbB4	erb-b2 receptor tyrosine kinase 4	1	
ERCC1	COFS4, RAD10, UV20	excision repair cross-complementation group 1	2	
ERCC2	COFS2, EM9, TFIIH, TTD, TTD1, XPD	excision repair cross-complementation group 2	1	
EREG	EPR, ER, Ep	epiregulin	1	
ERG	erg-3, p55	v-ets avian erythroblastosis virus E26 oncogene homolog	1	
ERN1	IRE1, IRE1P, IRE1a, hIRE1p	endoplasmic reticulum to nucleus signaling 1	1	
ERV3-1	ERV-R, ERV3, ERVR, HERV-R, HERVR, envR	endogenous retrovirus group 3, member 1	2	
FBL	FIB, FLRN, RNU3IP1	fibrillarin	1	
ESD	FGH	esterase D	2	
ESR1	ER, ESR, ESRA, ESTRR, Era, NR3A1	estrogen receptor 1	10	
ESR2	ER-BETA, ESR-BETA, ESRB, ESTRB, Erb, NR3A2	estrogen receptor 2 (ER beta)	5	
ESRRA	ERR1, ERRa, ERRalpha, ESRL1, NR3B1	estrogen-related receptor alpha	2	
ETFA	EMA, GA2, MADD	electron-transfer-flavoprotein, alpha polypeptide	1	
ETS1	ETS-1, EWSR2, c-ets-1, p54	v-ets avian erythroblastosis virus E26 oncogene homolog 1	9	
ETS2	ETS2IT1	v-ets avian erythroblastosis virus E26 oncogene homolog 2	2	
MECOM	AML1-EVI-1, EVI1, MDS1, MDS1-EVI1, PRDM3	MDS1 and EVI1 complex locus	1	
EVPL	EVPK	envoplakin	1	
EXTL2	EXTR2	exostosin-like glycosyltransferase 2	1	
